query_id,channel,rank,title,price,originalPrice,discount,rating,reviewsCount,bestseller,starSeller,shop,delivery,shopPolicies,purchaseProtection,return_policy_text,paymentMethods,paymentMethods_count,number_of_images,first_image_url,alt_text_available,description_text,description_word_count,description_char_count,number_of_faq_items
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,1,Jasmine Soy Candle: Handmade Moon and Sun with Dried Flowers,7.5,,0.0,5 out of 5 stars,110,False,True,MyMagicPlaceShop,Get it by Dec 20-29,yes,yes,"Buyers are responsible for return shipping costs. If the item is not returned in its original condition, the buyer is responsible for any loss in value.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,8,https://i.etsystatic.com/25286707/r/il/4876eb/5857905054/il_794xN.5857905054_hoyo.jpg,True,"Illuminate your space with the enchanting glow of our Handmade Sun and Moon Candle, crafted with care and intention. Made from 100% soy wax, these unique candles are infused with Jasmine's timeless, floral aroma—a fragrance that soothes the soul and uplifts the spirit. Each candle is hand-poured in a warm butterscotch hue, adorned with carefully selected dried flowers, ensuring no two candles are ever the same. The delicate sun and moon design invites celestial energy into your home, making this piece a decorative treasure and a serene ambiance. Perfect for gifting or creating your sacred space, this candle is more than just a light—it’s an experience crafted for you. Size: 2.5 inches diameter approximately. **SAFETY PLEASE READ!** Never leave the candle unattended, and always handle fire with care, '^ SHIPPING: All postage comes with tracking.'",135,857,2
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,2,"Personalized Dried Flower Tin Candle Favors: Scented Soy Wax, Bulk Wedding Shower",34.98,58.3,0.4,5 out of 5 stars,452,False,True,favors4ever,Dec 22-31,yes,yes,"Buyers are responsible for return shipping costs. If the item is not returned in its original condition, the buyer is responsible for any loss in value.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,3,https://i.etsystatic.com/44944312/r/il/456a11/6138837100/il_794xN.6138837100_lysd.jpg,True,"Elevate your special events with our Personalized Tin Candle with Embedded Dried Flowers in Bulk. These exquisite candles are perfect for christmas, holidays, winters, weddings, bridal showers, baby showers, birthdays, and other memorable celebrations.",34,252,0
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,3,Winter Wedding Candle Favors – 1oz Amber Jar – Personalized Soy Candles – Gifts for Guests – Bridal Shower – 10 25 50 Pack,29.25,45.0,0.35,5 out of 5 stars,46,True,True,Candlelifestyle,Arrives between Dec 17-24,yes,yes,Returns & exchanges not accepted but please contact me if you have problems with your order.,"[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,13,https://i.etsystatic.com/53865587/r/il/41f3cc/7543873559/il_794xN.7543873559_6y17.jpg,True,"Celebrate your winter wedding with our Personalized Candle Favors. Each 1oz amber jar soy candle comes with a custom label and optional mini gift box, perfect for guest favors, receptions, and holiday weddings. Hand-poured and available in 10 / 25 / 50 bulk packs with elegant winter scents. Each candle can be personalized with your names and wedding date, making them a memorable keepsake for your guests.",67,407,0
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,4,"Enchanting Maple Leaf Glass Candle Holder, Hand Painted, Glass Tea Light Holder, Orange Maple Leaf Tealight, Warm Autumn Decor, Unique Gifts",46.8,58.5,0.2,5 out of 5 stars,3,False,True,GlassAryistry,Order today to get by Dec 22-Jan 5,yes,yes,Returns & exchanges not accepted.,"[""Credit Card"", ""PayPal"", ""Gift Card""]",3,6,https://i.etsystatic.com/53180150/r/il/bbbe52/6351091456/il_794xN.6351091456_b9u2.jpg,True,"Capture the essence of autumn with this enchanting maple leaf tea light. Each hand-painted glass globe features intricately detailed leaves, evoking the beauty of fall in every stroke. When lit, the warm light of the candle illuminates the glass, casting vivid maple leaf patterns that dance across your walls, bringing a cozy and magical atmosphere to any room.",58,362,0
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,5,Dr. Pepper Candle,8.0,,0.0,5 out of 5 stars,69,True,True,Uptownflamecandlebar,Arrives Dec 18-23,yes,yes,"Returns & exchanges not accepted, but please contact me if you have problems with your order.","[""Credit Card"", ""PayPal"", ""Gift Card""]",3,8,https://i.etsystatic.com/57587968/r/il/5034c4/6633752942/il_794xN.6633752942_t6dt.jpg,True,"Your choice of 7.5 ounces or 12oz Dr.Pepper scent. Each candle is made from repurposed cans, reducing waste. The fragrance notes include orange, cherry, almond, cinnamon, clove, nutmeg, vanilla, and sandalwood.",31,210,3
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,6,"Hummingbird Stained Glass Look Candle Holder, Frosted Glass With Timer Tealight Or Ceramic",15.99,,0.0,5 out of 5 stars,41,True,True,DesignsTreasureShop,Dec 18-22,yes,yes,Returns & exchanges not accepted. But please contact me if you have problems with your order.,"[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,7,https://i.etsystatic.com/36991640/r/il/6a1089/6895804973/il_794xN.6895804973_n5f0.jpg,True,"Discover the charm of our Beautiful Hummingbird Stained Glass Look Frosted Candle Jar Or White Ceramic with Bamboo Wooden Lid, where sophistication meets sustainability. These beautifully crafted jars are timeless pieces that add a touch of elegance to any setting. The design is heated into the glass making it permanent. Frosted Glass Has Battery Operated 6 Hr Timer Tea Light Candle Jars, providing a warm glow, reminiscent of cozy evenings. Ideal for creating a tranquil atmosphere, the candles flicker just like the real thing, yet without the worry of open flames.",91,570,2
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,7,"Custom Bulk Favor Candles: baby shower, bridal shower, Printed on Glass, Soy Wax 5oz",9.5,,0.0,5 out of 5 stars,11,False,False,Keepandpresent,Dec 20-30,yes,yes,"Due to the personalized nature of our custom pet portraits, we are unable to provide return options. Should you encounter any production defects, please get in touch with us.","[""Credit Card"", ""PayPal""]",2,5,https://i.etsystatic.com/45270738/r/il/832232/6974217057/il_794xN.6974217057_4a9b.jpg,True,"Save 15% when you buy 10 items at this shop. Unique high-quality products, product was as described! Great customer service, and communication.",22,143,0
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,8,"Large Wooden Dough Bowl Candle with Wavy Wooden Wick – Hand Poured Soy Candle, Rustic Farmhouse Home Decor, Long Burning Cozy Gift",37.0,74.0,0.5,5 out of 5 stars,137,False,True,AgabooCandles,Arrives by Dec 23-26,yes,yes,"Returns & exchanges not accepted, but please contact if you have problems with your order","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Gift card""]",7,10,https://i.etsystatic.com/35558980/r/il/b92f48/7480882228/il_794xN.7480882228_hkui.jpg,True,"Indulge in your favorite fragrance from our curated selection of certified, high-quality scents. Whether you’re styling your living room, elevating your entryway décor, or choosing a thoughtful gift, this handcrafted candle adds a refined, cozy touch to any space. Each bowl is crafted by artisans and carries its own natural grain, texture, and rustic character—making every candle a one-of-a-kind decorative piece that adds warmth and timeless charm to any interior.",70,468,2
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,9,Handmade Eucalyptus Flameless Candle with Timer,19.0,,0.0,5 out of 5 stars,1,False,True,KandleRoseStore,Arrives Dec 19-26,yes,yes,Exchanges accepted within 7 days.,[],0,4,https://i.etsystatic.com/52851594/r/il/3ae191/7196515042/il_794xN.7196515042_oym1.jpg,True,"KandleRose - Flameless candles to make your holiday décor even more personalized. Make great gifts for any holiday! Each Candle Includes an ON/OFF/Timer switch. Timer is a 5 Hour 24 hour cycle. Takes AAA Batteries (Not included). Height at 6"" width at 3"". Please note all items are handmade so no two candles are alike. Imperfections may appear due to wax of candle when being made.",66,382,0
Find_10_aesthetic_home_decor_candles_from_Etsy,SEO,10,"Handmade Succulent, Cactus Candle Dough Bowl– Rustic Centerpiece, Unique Home Décor Gift for Her, Him, Mother's Day, Housewarming, Birthday",39.6,,0.0,5 out of 5 stars,21,True,False,LollaTranquilGlow,Get it by Dec 18-26,yes,yes,"All candles are custom-poured to order, so returns and exchanges are not accepted. If your item arrives damaged, please contact us within 24 hours of delivery with photos of the item and the packaging—we’ll make it right.",[],0,11,https://i.etsystatic.com/53962284/r/il/78aa0c/7296467655/il_794xN.7296467655_j38b.jpg,True,"Bring the warmth of nature into your home with this Handmade Succulent & Cactus Candle Dough Bowl. Crafted with eco-friendly soy wax and designed to look like a vibrant desert garden, this candle doubles as a decorative centerpiece and a thoughtful gift. Each candle is poured by hand in a rustic wooden dough bowl, ensuring uniqueness and quality.",58,348,0
Find_10_aesthetic_mugs_with_lids_under__30_on_Etsy,SEO,1,"Custom Text Coffee Mug, Customizable Coffee Cup, Personalize Text Mug with Your Words, Ceramic Quote Coffee Mug, Christmas / Birthday Gift",8.17,10.89,0.2498,5 out of 5 stars,939,True,True,TheGiftBucks,Arrives between Dec 17-29,yes,yes,Returns & exchanges not accepted,"[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,8,https://i.etsystatic.com/34923795/r/il/d7ed60/5517760993/il_794xN.5517760993_pah6.jpg,True,"Looking for a unique gift? Look no further than our custom text coffee mug! This customizable coffee cup allows you to personalize it with your own words, making it a truly special gift. The ceramic quote coffee mug is perfect for any occasion, whether it's a Christmas present or a birthday gift.",52,297,0
Find_10_aesthetic_mugs_with_lids_under__30_on_Etsy,SEO,2,"Personalized Friendship Mug, Long Time to Grow Old Friends Mug, Gift For Besties TN1075-2",12.99,17.32,0.25,5 out of 5 stars,21,True,True,ThreePointSeven,Arrives by Dec 17-26,yes,yes,"Returns & exchanges not accepted, but please contact me if you have problems with your order",[],0,8,https://i.etsystatic.com/20493724/r/il/94185d/7336656407/il_794xN.7336656407_jjyi.jpg,True,High quality ceramic mug available in multiple sizes and colors. Microwave and dishwasher safe. Personalization options available.,17,130,0
Find_10_aesthetic_quote_tote_bags_on_Etsy,SEO,1,Bulk Custom Tote Bags with Your Logo – Reusable Cotton Canvas Promotional Bags – Eco Friendly Event or Business Swag,3.31,5.09,0.3497,5 out of 5 stars,132,True,True,craftgatedesign,Dec 18-29,yes,yes,"Returns & exchanges not accepted, but please contact me if you have problems with your order.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,6,https://i.etsystatic.com/31411722/r/il/8fc7b4/6796936018/il_794xN.6796936018_arjg.jpg,True,"Custom logo tote bags made from 100% cotton canvas, perfect for eco-friendly branding at events.",15,96,3
Find_10_aesthetic_quote_tote_bags_on_Etsy,SEO,2,"Kindness Is Free Tote Bag, Positive Quote Tote, Be Kind Bag, Inspirational Tote, Motivational Gift, Kindness Quote Canvas Shopping Bag",7.44,12.4,0.4,5 out of 5 stars,814,False,True,CustomToteBagsUS,Arrives Dec 18-26,yes,yes,Contact us if you have problems with your order.,"[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,9,https://i.etsystatic.com/58997159/r/il/3aba7c/7104462084/il_794xN.7104462084_f388.jpg,True,"100% heavy-duty cotton canvas tote bag with vivid, long-lasting designs and resistance to fading, cracking, or peeling.",17,119,0
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,1,SET OF 10 Holiday Candles - Corporate Holiday Party Favor - Holiday Party Favor - Affordable Christmas Gift Idea - Company Christmas Favor,3.55,3.95,0.1013,5 out of 5 stars,24,True,True,WhiteConfettiBox,Get it by Dec 18-26,yes,yes,"Due to the custom nature of our business, items that are customized or made for your order are not eligible for a refund.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Gift card""]",7,5,https://i.etsystatic.com/13715860/r/il/5c3290/6438429297/il_794xN.6438429297_i711.jpg,True,"Light up your holidays with our adorable personalized red candles, infused with our enchanting scent of Winter Wonderland! Each order features a custom label on the candle lid, adding a special touch to your festive decor.",36,222,3
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,2,"Personalized Dried Flower Tin Candle Favors: Scented Soy Wax, Bulk Wedding Shower",34.98,58.3,0.4,5 out of 5 stars,452,False,True,favors4ever,Free shipping,yes,yes,"Buyers are responsible for return shipping costs. If the item is not returned in its original condition, the buyer is responsible for any loss in value.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Etsy Gift Cards""]",7,11,https://i.etsystatic.com/44944312/r/il/456a11/6138837100/il_794xN.6138837100_lysd.jpg,True,"Elevate your special events with our Personalized Tin Candle with Embedded Dried Flowers in Bulk. These exquisite candles are perfect for christmas, holidays, winters, weddings, bridal showers, baby showers, birthdays, and other memorable celebrations. Each candle is thoughtfully handcrafted and poured with high-quality scented soy wax, ensuring a clean and long-lasting burn. Encased in elegant tin round cases, each candle features a delightful blend of dried flowers embedded within the wax. The delicate hues of pink, purple, and yellow flowers add a touch of natural beauty and charm. The tin case is topped with a personalized sticker on the lid, allowing you to customize each candle with a name, date, or short message in an elegant cursive font, making them unique keepsakes for your guests. Our scented soy wax candles not only create a warm and inviting atmosphere but also serve as a beautiful reminder of your special day. Available in bulk, these personalized candles are the perfect favors to show appreciation to your guests while adding a sophisticated touch to your event decor. Make your celebrations unforgettable with our Personalized Tin Candles with Embedded Dried Flowers. Order in bulk for a charming and thoughtful addition to your weddings, bridal showers, baby showers, birthdays, and more.",206,1320,0
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,3,"Calm and Grounded Aromatherapy Candle - Lavender, Frankincense & Vetiver Blend",17.99,,0.0,5 out of 5 stars,2,False,True,LightandCalmCandles,Order today to get by Dec 22-Jan 1,yes,yes,"Buyers are responsible for return shipping costs. If the item is not returned in its original condition, the buyer is responsible for any loss in value. Returns accepted within 30 days.",[],0,4,https://i.etsystatic.com/47890552/r/il/420824/7248721706/il_794xN.7248721706_n2pi.jpg,True,"Experience tranquility and balance with our Calm and Grounded Aromatherapy Candle. Handcrafted with a soothing blend of Lavender, Frankincense, and Vetiver, this candle is designed to promote relaxation and mental clarity.",31,222,4
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,4,Winter Wedding Candle Favors – 1oz Amber Jar – Personalized Soy Candles – Gifts for Guests – Bridal Shower – 10 25 50 Pack,29.25,45.0,0.35,5 out of 5 stars,46,True,True,Candlelifestyle,Dec 17-24,yes,yes,Returns & exchanges not accepted. But please contact me if you have problems with your order.,"[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,13,https://i.etsystatic.com/53865587/r/il/41f3cc/7543873559/il_794xN.7543873559_6y17.jpg,True,Celebrate your winter wedding with our Personalized Candle Favors. Each 1oz amber jar soy candle comes with a custom label. Hand-poured and available in bulk packs with elegant winter scents.,30,191,4
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,5,Manifestation Candle Crystal Healing Set Mindfulness Gift Wellness Kit with Crystal Intention Candle Dried Flower Sacred Space Meditation,8.48,15.42,0.4501,5 out of 5 stars,105,True,True,ApricotRainCreations,Usually dispatched within two days.,yes,yes,"Due to the custom nature of the item, we do not accept returns, exchanges or requests for alterations after delivery.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Gift card""]",7,10,https://i.etsystatic.com/48159065/r/il/52acac/6501172845/il_794xN.6501172845_ew8b.jpg,True,"Create a sacred space with this Manifestation Candle Crystal Healing Set, a thoughtful mindfulness gift or wellness kit for yourself or a loved one. This crystal intention candle set includes dried flowers and promotes meditation, featuring a crystal intention candle perfect for enhancing your sacred space.",46,308,2
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,6,"Hand-Poured Soy Wax Scented Candle: Natural Fragrance, Aromatherapy, various sizes",11.17,,0.0,5 out of 5 stars,15,True,True,DawnandBloom,"Ships from: United Kingdom, Estimated delivery: Dec 19-Jan 8",yes,yes,"Returns & exchanges accepted. Buyers are responsible for return shipping costs. If the item is not returned in its original condition, the buyer is responsible for any loss in value.",[],0,5,https://i.etsystatic.com/59015251/r/il/7682d9/6877419871/il_794xN.6877419871_18zp.jpg,True,"Made by DawnandBloom - Each soy wax candle is careful hand-poured in small batches, using 100% natural soy wax.",19,111,0
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,7,All Natural 100% Soy Candles made with Essential Oils - Christmas Gift For Her - Thoughtful Gift Idea,9.5,,0.0,4.5 out of 5 stars,5,True,False,CleanGlowCandleCo,Dec 18-23,yes,yes,"Buyers are responsible for return shipping costs. If the item is not returned in its original condition, the buyer is responsible for any loss in value.",[],0,9,https://i.etsystatic.com/51510794/r/il/c4853d/7029213524/il_794xN.7029213524_oiph.jpg,True,"✨ Breathe Easy. Burn Clean. At Clean Glow Candle Co., we hand-pour every candle using safe, non-toxic ingredients, so your home smells amazing without the harsh chemicals. Our candles are made with clean-burning soy wax and scented using essential oils.",40,253,0
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,8,"Boho Candle Favors, Dried Flowers, Party Favors, Wedding Favors, Bridal & Baby Showers, or any Event! Individually wrapped in a gold bag!",4.5,,0.0,5 out of 5 stars,11,True,False,LegacyofLightllc,Order today to get by Dec 24-Jan 7,yes,yes,Returns & exchanges accepted,"[""Credit Card"", ""PayPal""]",2,13,https://i.etsystatic.com/49612060/r/il/5a0153/7374974573/il_794xN.7374974573_9505.jpg,True,"Perfect for party favors, weddings, birthday parties, baby showers, bridal showers, bachelorette parties, or open houses!",16,121,0
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,9,Set of Four Aromatherapy Tealight Candles | One Ounce Wooden Bowl Candle with Dried Flowers | Essential Oil Infused | Wellness Gift,22.0,,0.0,5 out of 5 stars,1.3k,False,True,meganspantry,Arrives soon! Get it by Dec 18-26,yes,yes,,"[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,6,https://i.etsystatic.com/22716784/r/il/f3ea30/7406327307/il_794xN.7406327307_ttiq.jpg,True,"Elevate everyday rituals or give the perfect wellness gift with Megan’s Pantry Aromatherapy Candles. This thoughtfully curated collection includes four 1 oz wooden tealight candles, each hand-poured in small batches using pure soy wax, therapeutic-grade essential oils, and topped with real botanicals.",42,302,0
Find_10_aromatherapy_candles_under__25_on_Etsy,SEO,10,100% Soy Candles,10.5,,0.0,5 out of 5 stars,5.5k,False,False,906CandleCo,Arrives Dec 22-24,yes,yes,Returns & exchanges not accepted,"[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Gift card""]",7,10,https://i.etsystatic.com/27982526/r/il/7543c8/3094371995/il_794xN.3094371995_jxuc.jpg,True,Soy candles in small batches using premium soy wax. Each candle is hand-poured and comes in various delightful scents.,19,118,0
